sku_id,menu_name,brand_canonical,menu_group,country,age,abv,bottle_ml,in_stock,research_priority,database_status,image_status,fact_status,data_gaps,next_action
S001,Aukentoshan 12,Auchentoshan 12 Year Old,Солодовые виски из Lowlands,Шотландия,12 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S002,Aukentoshan American Oak,Auchentoshan American Oak,Солодовые виски из Lowlands,Шотландия,3 года,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm|age_needs_verification,find_image_and_verify_facts
S003,Glenfiddich 18,Glenfiddich 18 Year Old,Солодовые виски из Speyside,Шотландия,18 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S004,Aberlour Triple Cask,Aberlour Triple Cask Matured,Солодовые виски из Speyside,Шотландия,3 года,40,700,0,P3_skip_until_back_in_stock,base_from_menu,needs_candidate,needs_verified_facts,height_mm|age_needs_verification,do_not_prepare_for_publishing
S005,Balvenie Double Wood 12,The Balvenie DoubleWood 12,Солодовые виски из Speyside,Шотландия,12 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S006,Aberlour 12,Aberlour 12 Double Cask,Солодовые виски из Speyside,Шотландия,12 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S007,Singlton Dufftown 12,The Singleton of Dufftown 12 Year Old,Солодовые виски из Speyside,Шотландия,12 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S008,Macallan 12,The Macallan Double Cask 12,Солодовые виски из Highland,Шотландия,12 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S009,Dalmore 12,The Dalmore 12 Year Old,Солодовые виски из Highland,Шотландия,12 лет,40,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S010,Glenmorangie The Original 10,Glenmorangie The Original 10,Солодовые виски из Highland,Шотландия,10 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S011,Lagavulin 16,Lagavulin 16 Year Old,Островные солодовые виски,Шотландия,16 лет,43,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,,find_image_and_verify_facts
S012,Arran 10,Arran 10 Year Old,Островные солодовые виски,Шотландия,10 лет,46,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S013,Caol Ila 12,Caol Ila 12 Year Old,Островные солодовые виски,Шотландия,12 лет,43,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S014,Laphroaig 10,Laphroaig 10 Year Old,Островные солодовые виски,Шотландия,10 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S015,Yellow Spot 12,Yellow Spot 12 Year Old,ВИСКИ ИРЛАНДИИ,Ирландия,12 лет,46,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S016,Teeling Single Malt,Teeling Single Malt,ВИСКИ ИРЛАНДИИ,Ирландия,7 лет,46,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S017,Bushmills 10,Bushmills 10 Year Old Single Malt,ВИСКИ ИРЛАНДИИ,Ирландия,10 лет,40,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S018,Jack Daniels Single Barrel,Jack Daniel's Single Barrel Select,ВИСКИ США,США,8 лет,45,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm,find_image_and_verify_facts
S019,Woodford Reserve,Woodford Reserve Distiller's Select,ВИСКИ США,США,3 года,43,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock|age_needs_verification,confirm_stock_before_asset_work
S020,Maker's Mark,Maker's Mark,ВИСКИ США,США,4 года,45,700,1,P1_publishable_after_asset,base_from_menu,needs_candidate,needs_verified_facts,height_mm|age_needs_verification,find_image_and_verify_facts
S021,Bulleit Bourbon Frontier,Bulleit Bourbon Frontier Whiskey,ВИСКИ США,США,6 лет,45,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
S022,The English Smokey,The English Whisky Smokey,ВИСКИ АНГЛИИ,Англия,3 года,43,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock|age_needs_verification,confirm_stock_before_asset_work
S023,Hibiki Japanese Harmony,Hibiki Japanese Harmony,ВИСКИ ЯПОНИИ,Япония,,43,700,?,P2_confirm_stock_first,base_from_menu,needs_candidate,needs_verified_facts,height_mm|in_stock,confirm_stock_before_asset_work
