row,name,article,supplier,volume,parallel,price,sale_price,free,reserve,pom_free,rev_free
7,Абсент Люксардо спиртной напиток 0.75л,УМ008А,РЕГИОН 50,0.75,,3107.41,,1.0,0,1.0,0
10,Абсент Абсолвент горькая настойка 0.5л,ЛД681Н,Ладога Дистрибьюшен,0.5,,1115.2,,75.0,0,75.0,0
14,Апероль (аперитив) 1.0л.,АИ956,АСТ-интернэшнл инваэронмэнт,1,ПИ,2376.54,,20.0,0,20.0,0
16,Кампари ликер 1.0л.,АИ970,АСТ-интернэшнл инваэронмэнт,1,ПИ,2949.75,,101.0,0,101.0,0
18,Мартини Ризерва Специале Биттер спиртной напиток 0.7л,БМ038А,Бакарди Рус ООО,0.7,,3443.72,,123.0,0,123.0,0
20,"Аперитив САНТО СТЕФАНО АПЕРИНИ 0,75л",ЕАГ033,ЕАГ Трейд ООО,0.75,,523.67,,336.0,0,336.0,0
21,"Аперитив САНТО СТЕФАНО БЬЯНКО 0,75л.",ЕАГ006,ЕАГ Трейд ООО,0.75,,523.67,,258.0,0,258.0,0
22,"Аперитив САНТО СТЕФАНО РОЗАТО 0,75л.",ЕАГ007,ЕАГ Трейд ООО,0.75,,523.67,,438.0,0,438.0,0
29,"Аперитив СОДЖУ СИБСА СИГНАЧА ЗЕМЛЯНИКА И ФИАЛКА 0,33л",ПО520,АСГ,0.33,,397.5,,12.0,0,12.0,0
30,"Аперитив СОДЖУ СИБСА СИГНАЧА ОРХИДЕЯ БЛИСС 0,33л",ПО519,АСГ,0.33,,397.5,,69.0,0,69.0,0
31,"Аперитив СОДЖУ СИБСА СИГНАЧА ЧЕРРИ БЛОССОМ 0,33л",ПО518,АСГ,0.33,,397.5,,162.0,0,162.0,0
32,"Аперитив СОДЖУ СИБСА СО ВКУСОМ ВИНОГРАД-АЛОЭ 0,375л",ПО508,АСГ,0.375,,244.84,,153.0,0,153.0,0
34,"Аперитив СОДЖУ СИБСА СО ВКУСОМ ГРЕЙПФРУТА 0,375л",ПО509,АСГ,0.375,,244.84,,477.0,0,477.0,0
