form,split,n,symbols,days,net_mean_bps,net_median_bps,win_rate_pct
confirmation,train,20,19,14,153.93280736501828,236.1221097778178,65
confirmation,validation,3,3,3,-31.481361761071884,-69.43990852883968,33.333333333333336
confirmation,holdout,11,11,6,102.30086291327926,-3.260810680081577,45.45454545454545
confirmation,forward,7,7,4,-180.74297032357794,-462.7516902274118,42.857142857142854
confirmation,combined_oos,18,17,10,-7.7717389010540785,-42.16076498506651,44.44444444444444
retest,train,8,8,8,-149.98605030057186,-174.72616809551283,37.5
retest,validation,2,2,2,-298.9077117164042,-298.9077117164042,0
retest,holdout,4,4,4,52.50130441695967,0.876271389255237,50
retest,forward,5,5,3,-268.67884967689076,-552.4895583071519,20
retest,combined_oos,9,8,7,-125.93211452406837,-27.393442622951035,33.333333333333336
