horizon_s,notional_bucket,conditioner_bucket,n,gross_bps,gross_median_bps,t_stat,net_bps,mean_conditioner,symbols,reportable
60,0,0,1208,7.2671,4.1964,9.2879,-8.7329,-0.4192,10,true
60,0,1,1208,7.5158,4.5670,9.8798,-8.4842,-0.1417,10,true
60,0,2,1208,7.0167,4.1742,12.1956,-8.9833,0.0083,10,true
60,0,3,1208,5.5432,3.3672,8.1756,-10.4568,0.2388,10,true
60,0,4,1208,6.5880,3.2758,7.7072,-9.4120,4.2984,10,true
60,1,0,1208,6.0005,4.4436,8.1289,-9.9995,-0.4073,10,true
60,1,1,1208,6.6253,4.7767,9.3558,-9.3747,-0.1476,10,true
60,1,2,1208,5.6626,4.1736,9.2234,-10.3374,0.0084,10,true
60,1,3,1208,5.4925,3.3537,8.6312,-10.5075,0.2608,10,true
60,1,4,1207,6.0430,3.3566,6.4611,-9.9570,32.8016,10,true
60,2,0,1208,8.2056,5.1624,10.3517,-7.7944,-0.4113,10,true
60,2,1,1208,7.8864,4.4556,9.4211,-8.1136,-0.1383,10,true
60,2,2,1208,8.0743,4.4442,13.6814,-7.9257,0.0111,10,true
60,2,3,1208,6.6178,4.1295,7.0599,-9.3822,0.2797,10,true
60,2,4,1207,7.5540,4.4189,7.9946,-8.4460,11.3967,10,true
60,3,0,1208,7.0710,4.5121,9.3203,-8.9290,-0.4068,10,true
60,3,1,1208,6.3664,4.4977,9.3510,-9.6336,-0.1294,10,true
60,3,2,1208,6.7495,4.5998,11.6131,-9.2505,0.0160,10,true
60,3,3,1208,5.9547,5.0834,7.9658,-10.0453,0.2701,10,true
60,3,4,1207,7.2087,4.1070,8.5687,-8.7913,29.2199,10,true
60,4,0,1208,7.3454,5.3032,8.9589,-8.6546,-0.4096,10,true
60,4,1,1208,6.9758,4.4763,10.7159,-9.0242,-0.1281,10,true
60,4,2,1208,8.4469,5.1196,13.4013,-7.5531,0.0127,10,true
60,4,3,1208,7.1629,4.4272,8.7216,-8.8371,0.3220,10,true
60,4,4,1207,6.8587,4.6404,7.0587,-9.1413,14.2281,10,true
300,0,0,1208,8.0880,5.6910,4.7242,-7.9120,-0.4192,10,true
300,0,1,1208,7.4114,5.5090,5.0895,-8.5886,-0.1417,10,true
300,0,2,1208,7.6236,3.3939,5.6075,-8.3764,0.0083,10,true
300,0,3,1208,5.6421,4.3452,3.8646,-10.3579,0.2388,10,true
300,0,4,1208,7.3534,2.3883,4.2026,-8.6466,4.2984,10,true
300,1,0,1208,4.1807,3.3492,2.4682,-11.8193,-0.4073,10,true
300,1,1,1208,7.5752,5.1299,5.0607,-8.4248,-0.1476,10,true
300,1,2,1208,3.0212,3.1536,1.9312,-12.9788,0.0084,10,true
300,1,3,1208,4.7015,4.3031,3.2699,-11.2985,0.2608,10,true
300,1,4,1207,5.0577,4.3236,2.8819,-10.9423,32.8016,10,true
300,2,0,1208,8.9027,4.4598,5.1469,-7.0973,-0.4113,10,true
300,2,1,1208,5.7812,4.0535,3.5591,-10.2188,-0.1383,10,true
300,2,2,1208,10.1984,6.0625,7.1406,-5.8016,0.0111,10,true
300,2,3,1208,4.8612,4.1567,2.9472,-11.1388,0.2797,10,true
300,2,4,1207,10.0986,5.0646,5.9875,-5.9014,11.3967,10,true
300,3,0,1208,7.2462,4.5321,4.0944,-8.7538,-0.4068,10,true
300,3,1,1208,6.0139,3.5119,4.2003,-9.9861,-0.1294,10,true
300,3,2,1208,6.6468,4.8030,5.6499,-9.3532,0.0160,10,true
300,3,3,1208,8.5184,4.6611,6.0070,-7.4816,0.2701,10,true
300,3,4,1207,8.7299,4.3419,5.6000,-7.2701,29.2199,10,true
