series,start_week,n_rules,spearman,winner_id,winner_p1_bps,winner_p2_bps,all_p2_median_bps,winner_minus_median_bps,winner_percentile_in_p2
non_overlapping,24,54,0.0309,k16_MOM_b10,281.9605,-22.7449,-10.9458,-11.7991,0.4151
non_overlapping,64,54,-0.0641,k3_MOM_b10,130.1379,-36.5780,-13.6474,-22.9306,0.2642
non_overlapping,104,54,0.2677,k6_REV_b10,159.7511,-81.7604,-11.9084,-69.8521,0.0566
rolling,24,54,0.0309,k16_MOM_b10,281.9605,-22.7449,-10.9458,-11.7991,0.4151
rolling,28,54,0.5867,k16_MOM_b10,186.5602,54.4817,-5.9694,60.4511,0.9057
rolling,32,54,0.5748,k16_MOM_b10,215.8695,64.7438,-8.7190,73.4628,0.8679
rolling,36,54,0.5026,k3_MOM_b10,185.6245,80.4954,-8.3305,88.8258,0.9811
rolling,40,54,0.4741,k3_MOM_b3,167.9967,-21.9678,-14.5471,-7.4207,0.4151
rolling,44,54,-0.0483,k16_MOM_b10,171.1079,-32.5954,-17.5744,-15.0210,0.2830
rolling,48,54,0.4151,k16_MOM_b10,149.2833,2.7549,-4.7981,7.5530,0.5283
rolling,52,54,0.2212,k2_REV_b10,90.3882,-72.9158,-7.8376,-65.0782,0.2075
rolling,56,54,0.1742,k2_REV_b10,98.6760,-65.7205,-10.3213,-55.3992,0.2075
rolling,60,54,-0.5633,k1_MOM_b5,133.2272,-39.6463,-11.0222,-28.6241,0.2453
rolling,64,54,-0.0641,k3_MOM_b10,130.1379,-36.5780,-13.6474,-22.9306,0.2642
rolling,68,54,-0.1352,k3_MOM_b10,151.8297,62.3117,-11.6801,73.9918,0.9623
rolling,72,54,0.2895,k3_MOM_b10,155.8716,78.0496,-10.0178,88.0675,0.9623
rolling,76,54,0.2585,k8_MOM_b5,87.7194,-27.7769,-5.1544,-22.6225,0.3585
rolling,80,54,0.5028,k6_MOM_b5,101.6367,-15.9860,-7.0754,-8.9106,0.4717
rolling,84,54,0.1184,k6_REV_b10,126.4776,-17.8159,-10.7508,-7.0651,0.4528
rolling,88,54,0.5255,k3_MOM_b10,113.0683,73.9200,-9.2683,83.1883,0.9623
rolling,92,54,0.4754,k6_REV_b10,214.6911,-124.0866,-11.7351,-112.3515,0.0943
rolling,96,54,0.6536,k6_REV_b10,203.0828,-87.0506,-6.7790,-80.2715,0.1698
rolling,100,54,-0.4746,k6_REV_b10,268.4088,-150.3780,-8.3400,-142.0380,0.0189
rolling,104,54,0.2677,k6_REV_b10,159.7511,-81.7604,-11.9084,-69.8521,0.0566
