threshold_pct,hold_h,universe,n,assets,funding_bps,basis_bps,gross_bps,net_mean_bps,net_median_bps,loss_rate_pct,top_share,without_best_bps,naive_t,effective_n,adjusted_t
10,24,all,37908,177,2.1056,1.2405,3.3461,-18.6539,-19.1717,97.4280,-0.0171,-19.1190,-315.2739,2124,-74.6277
10,24,hedgeable,3508,16,2.3365,0.7574,3.0939,-18.9061,-19.0012,100.0000,0.0327,-18.8905,-327.2757,192,-76.5658
10,72,all,37908,177,4.9513,1.6083,6.5596,-15.4404,-15.5045,93.6399,-0.0753,-16.7312,-123.0660,708,-16.8186
10,72,hedgeable,3508,16,6.3118,1.2573,7.5691,-14.4309,-14.1925,99.4299,0.0388,-14.3277,-167.9379,64,-22.6834
10,168,all,37908,177,8.6796,2.6319,11.3115,-10.6885,-8.1712,74.4803,-0.2245,-13.1888,-41.2467,177,-2.8185
10,168,hedgeable,3508,16,12.5008,2.3765,14.8773,-7.1227,-5.8139,78.0217,-0.0002,-7.7112,-44.1915,16,-2.9845
20,24,all,991,50,20.3067,8.7561,29.0628,7.0628,-4.8316,62.8658,1.5112,-4.4779,6.6408,600,5.1673
20,24,hedgeable,29,2,4.8951,8.1047,12.9998,-9.0002,-8.6468,100.0000,0.3398,-10.1355,-10.8254,24,-9.8481
20,72,all,991,50,55.9856,10.8695,66.8552,44.8552,10.6112,25.7316,0.7507,13.8703,18.3918,200,8.2623
20,72,hedgeable,29,2,10.3239,10.1961,20.5199,-1.4801,-1.3334,75.8621,0.0444,-2.4127,-2.0547,8,-1.0792
20,168,all,991,50,110.6977,14.7625,125.4602,103.4602,40.0773,5.7518,0.6368,46.6041,22.5060,50,5.0553
20,168,hedgeable,29,2,17.6822,13.5410,31.2231,9.2231,11.0717,13.7931,0.6403,5.6591,8.1810,2,2.1484
50,24,all,567,35,29.3599,11.0838,40.4437,18.4437,2.9451,44.4444,0.9771,0.6194,11.2797,420,9.7081
50,24,hedgeable,5,,,,,,,,,,,,
50,72,all,567,35,79.6250,14.0968,93.7217,71.7217,29.9595,11.9929,0.7826,22.9033,19.3846,140,9.6323
50,72,hedgeable,5,,,,,,,,,,,,
50,168,all,567,35,154.6623,18.8688,173.5310,151.5310,68.3674,2.8219,0.7237,61.5000,22.1195,35,5.4956
50,168,hedgeable,5,,,,,,,,,,,,
